country,Scenario 1,Scenario 2,Scenario 3,Scenario 4,Scenario 5
Moldova,"53.34 
 (46.06 to 59.87)","76.37 
 (58.15 to 89.38)","25.75 
 (21.85 to 29.41)","10.33 
 (8.84 to 11.74)","0.45 
 (0.39 to 0.51)"
Madagascar,"5.69 
 (3.84 to 6.32)","8.38 
 (7.27 to 11.57)","1.18 
 (1.10 to 1.38)","0.22 
 (0.20 to 0.25)","0.01 
 (0.01 to 0.02)"
Mexico,"77.61 
 (69.62 to 87.13)","96.32 
 (84.36 to 112.86)","12.73 
 (11.63 to 14.23)","5.35 
 (4.89 to 5.97)","0.23 
 (0.21 to 0.26)"
Malta,"0.76 
 (0.29 to 1.66)","0.84 
 (0.32 to 1.70)","0.38 
 (0.15 to 0.76)","0.09 
 (0.04 to 0.19)","0.01 
 (0.00 to 0.01)"
Mongolia,"43.39 
 (38.02 to 46.42)","52.01 
 (48.84 to 58.98)","4.62 
 (4.48 to 4.92)","1.60 
 (1.53 to 1.70)","0.59 
 (0.55 to 0.64)"
Mozambique,"6.71 
 (5.99 to 10.83)","9.43 
 (8.10 to 13.59)","4.26 
 (4.06 to 5.19)","0.15 
 (0.15 to 0.19)","0.04 
 (0.04 to 0.05)"
Malaysia,"0.17 
 (0.13 to 0.25)","0.23 
 (0.17 to 0.32)","0.10 
 (0.08 to 0.14)","0.02 
 (0.02 to 0.03)","0.00 
 (0.00 to 0.00)"
Nigeria,"15.19 
 (12.20 to 37.96)","22.94 
 (18.83 to 34.12)","10.86 
 (9.98 to 11.95)","1.16 
 (1.05 to 1.30)","0.13 
 (0.12 to 0.14)"
Netherlands,"45.14 
 (40.71 to 51.93)","51.09 
 (46.51 to 59.61)","3.53 
 (3.29 to 4.00)","1.15 
 (1.07 to 1.30)","0.05 
 (0.04 to 0.05)"
Norway,"2.36 
 (1.60 to 3.99)","2.42 
 (1.70 to 3.92)","1.10 
 (0.77 to 1.70)","0.16 
 (0.11 to 0.24)","0.01 
 (0.01 to 0.02)"
